Name	Ratio	Tags
DOOM (1993)	93.98%	00101000000000000000101001
Snake Force	93.98%	11101000000100000010100001
Hook	93.97%	10011000011010000000000000
Devil May Cry 5	93.96%	00101100000000010000100010
Desperados III	93.94%	10101101001000000000100000
Star Fetchers	93.94%	11101100011001010010000000
Portal Stories: Mel	93.92%	10101101001010010010101000
Cats Organized Neatly	93.92%	10011000011010001001000000
Townscaper	93.88%	10011010001000001001000000
Find Love or Die Trying	93.88%	10011000010000010010000010
The Elder Scrolls V: Skyrim	93.87%	00101100101000110000001000
Everlasting Summer	93.86%	10011100010000010010000010
shapez	93.86%	10011011010010000000000000
A Castle Full of Cats	93.86%	00011100000010000101000000
Monster Train	93.84%	00000001100000101000000000
Alba: A Wildlife Adventure	93.84%	10011100000100011101000000
Sayonara Wild Hearts	93.82%	10111100001100111000000100
Mon Bazou	93.82%	00010000000100000100011000
Fox Hime Zero	93.82%	10011100000000000001000010
Nuclear Throne	93.81%	10101000110001000000000001
Universe Sandbox	93.80%	10011110001000000100010000
Streets of Rogue	93.80%	10100100110001000000110000
Carto	93.80%	10001100011010011101000000
Dungeon Munchies	93.80%	10101100110001000100010010
Mini Metro	93.79%	10011011010010000000000000
Opus Magnum	93.79%	10011010010010000000000000
Kindergarten 2	93.79%	10101100110011010001000000
OPUS: Echo of Starsong - Full Bloom Edition	93.78%	10001100011000011100000010
CarX Drift Racing Online	93.77%	00111010000000000000110100
Besiege	93.77%	00001011000010000000100000
Crypt of the NecroDancer	93.76%	00100000110001100000000000
Ultimate Custom Night	93.75%	10101011001000010010001000
There is no game: Jam Edition 2015	93.75%	10011100010011000010000000
My Friend Pedro	93.73%	10101000010000000000100001
Bug Fables: The Everlasting Sapling	93.73%	10101100110000011001000000
The Elder Scrolls IV: Oblivion&reg; Game of the Year Edition Deluxe	93.72%	00101100101000110100001000
WolfQuest: Anniversary Edition	93.72%	00101010100000000100110000
Spiritfarer&reg;: Farewell Edition	93.70%	10000110001000010100000000
Hylics	93.70%	10001100101001000000000000
Lost in Play	93.70%	10011100011010111000000000
FIVE NIGHTS AT FREDDY'S: HELP WANTED	93.69%	10000000000000000000000000
Downwell	93.69%	10101100010001000000000100
The Planet Crafter: Prologue	93.68%	01001100000000011100101000
Glass Masquerade	93.66%	10011000011010000000000000
Epiphyllum in Love	93.66%	10010100000000000000000010
Bastion	93.65%	10101100111000111000000000
Yakuza 0	93.63%	00101100101000010000000000
The Binding of Isaac	93.63%	10101100110000000000000000
Sabbat of the Witch	93.63%	00010110000000010001000010
Ori and the Blind Forest	93.62%	10101100111010110101000000
Outer Wilds	93.62%	10101110001110010100001000
Hidden Folks	93.62%	10011100010010000001000000
Milo and the Magpies	93.62%	10001100010010011101000000
Noita	93.61%	10100000110001000000000000
Mini Motorways	93.61%	10011011000010000000100000
NEKOPARA Extra	93.59%	10111000010000010001000010
Bugsnax	93.58%	00111100000010011101001000
5D Chess With Multiverse Time Travel	93.57%	10001001000010001000100000
BAD END THEATER	93.57%	00001010010001111001000010
What Remains of Edith Finch	93.56%	10001100001010010100001000
Shovel Knight: Treasure Trove	93.56%	10101100110001100000000100
Human: Fall Flat	93.55%	10111110000010000000100000
Superflight	93.55%	10111010001000000100000100
Titanfall&reg; 2	93.54%	00101000000000000000101001
Game Dev Tycoon	93.54%	10011011010000000000000000
The Jackbox Party Pack 3	93.54%	10010001000000000000100000
Kenshi	93.53%	10001111100000000000000000
Mindustry	93.53%	10101001010001000000100000
missed messages.	93.53%	10011010001000010010000010
The Rewinder	93.53%	10001100011011010000000000
The Talos Principle	93.52%	10101110001010010100001000
Half-Life 2: Episode One	93.52%	00101100001010010000001001
Peggle Deluxe	93.52%	00011001010010000000100100
UNBEATABLE [white label]	93.51%	01100100010100011100000110
FreshWomen - Season 1	93.50%	10001100000000010000000000
Monster Girl Island: Prologue	93.49%	11001100000100110011001010
SIGNALIS	93.49%	00101100001110000000000001
PlateUp!	93.48%	00111001000000000001000000
Kerbal Space Program	93.47%	10001111000000000100000000
Master Of Pottery	93.47%	10011010001000000000010000
Valiant Hearts: The Great War&trade; / Soldats Inconnus : M&eacute;moires de la Grande Guerre&trade;	93.46%	10101100011010010000000000
Yakuza: Like a Dragon	93.46%	00101100100000010000000010
The Room Three	93.46%	10001100001110010000101000
Zup! X	93.46%	10011000010010010101000000
????	93.46%	01000000010000000001000010
?????Abnormal Treatment	93.46%	01000000010000000001000010
A Space for the Unbound	93.46%	00001100011011010100000010
Nova Drift	93.45%	10111000010000001000010101
At Home Alone Final	93.45%	11011111110011010010000010
TY the Tasmanian Tiger	93.45%	10101100000000011000000000
Backbone: Prologue	93.44%	10001100111011010010000000
Age of Empires II: Definitive Edition	93.42%	00101101010000000000100000
Quake	93.42%	00101000001000000000101001
Frog Detective 3: Corruption at Cowboy County	93.42%	10011100000000001101000000
Car Mechanic Simulator 2021	93.41%	10001111001110000000001000
Handshakes	93.41%	01011000010011001011000000
Flowers -Le volume sur ete-	93.41%	10011100000000010001000010
Resident Evil 7 Biohazard	93.36%	00101100001010010100101001
Killing Floor	93.36%	00101100000000000000101001
Rivals of Aether	93.36%	10101000010001000000100100
Refunct	93.36%	00011100001000001101001000
Downfall - A Slay the Spire Fan Expansion	93.36%	10000001100000000010000000
pureya	93.35%	00111000010001001001000101
Paint the Town Red	93.34%	10101100000000000000101100
The Forgotten City	93.34%	10000100101000110100001000
Lethal League Blaze	93.34%	10100000010000000000100110
NGU IDLE	93.32%	10011110100000010010000000
Rusted Warfare - RTS	93.32%	10101001010001000000100000
The Room VR: A Dark Matter	93.32%	10001100001010000000000000
Princess Remedy in a World of Hurt	93.32%	10101100110001000011000001
Outpath: First Journey	93.32%	00011100001101000010001000
NEKOPARA Vol. 1	93.31%	10011000001000010001000010
Hypnospace Outlaw	93.31%	10001110001010110000000000
VVVVVV	93.30%	10101100010011000100000000
The Legend of Heroes: Trails in the Sky SC	93.30%	00101100100000110000000010
Little Nightmares	93.28%	10101101001010010000000000
Mafia II (Classic)	93.28%	00101100001000010000100001
klocki	93.27%	10011000011010000000000000
?????	93.27%	01000000000000000001000000
Impostor Factory	93.25%	10001100111001010000000000
Bit Blaster XL	93.25%	10111000010001000000000101
Hexcells	93.25%	10011001010010000000000000
Hexcells Infinite	93.24%	10011001010010000000000000
Muck	93.23%	01100100100100101110101000
Retrowave	93.23%	10111010001000000000000100
Tukoni	93.22%	11011100010010011011000000
The Pedestrian	93.21%	00010100001110001001000000
Chicory: A Colorful Tale	93.21%	10011100110010011001000000
Dwarf Fortress	93.19%	10001011110001100000000000
Dust: An Elysian Tail	93.19%	10101100111000110100000010
Orcs Must Die!	93.18%	10101101100000100000100101
The Walking Dead: The Telltale Definitive Series	93.17%	00000100001100010000000000
Mad Father	93.17%	10011100011011010100000010
Tiny Rogues	93.17%	10001100110001100000010000
Will You Snail?	93.17%	10101100010000010101000000
Sword and Fairy	93.14%	00001000110000111000000000
Rakuen	93.12%	10001100110011111001000010
Zup! Z	93.12%	10011000010010000001000001
HROT	93.12%	10101000001000000000011001
Scarlet Hollow	93.12%	00000100100000010000010000
DARK SOULS&trade; III	93.11%	00101100101000010100100000
Blood and Bacon	93.11%	10101100000000000000101001
Untitled Goose Game	93.11%	10101110000010001001100000
GUILTY GEAR XX ACCENT CORE PLUS R	93.10%	00101000010000000000100110
DEEP SPACE WAIFU	93.09%	10111000011000010000000110
Day of the Tentacle Remastered	93.07%	10001100010011010000000000
Sakuya Izayoi Gives You Advice And Dabs	93.07%	00010000000000010001000010
Team Fortress 2	93.06%	00100000000000000010101001
OpenTTD	93.06%	11011011010000000010100000
S.T.A.L.K.E.R.: Call of Pripyat	93.03%	00101100101000000000101001
Coloring Pixels	93.01%	10011000010011001011000000
?? Melancholy Love	93.01%	00000000000000000000000010
Monolith	93.01%	11101100111101010000001101
Slime Rancher 2	92.99%	00111110000100101001111000
Audiosurf	92.99%	10011000000010001000000100
Rusty Lake: Roots	92.98%	10011100011010010000000000
Fluffy Store	92.98%	10010100000000000001000010
Muse Dash	92.97%	10111000010000001001000110
The Jackbox Party Pack 7	92.95%	10011000010000001000100000
Coloring Game 2	92.92%	10011000010011001010000000
Primordia	92.92%	10001100011011010000000000
Bang-On Balls: Chronicles	92.92%	00111100001100001101110000
ROUNDS	92.91%	10100000010000000000100100
Raging Loop	92.90%	10001100001000010000000010
I commissioned some bees 0	92.90%	11011000010010101011000000
Recettear: An Item Shop's Tale	92.89%	10000000000000000000000000
Chop Goblins	92.89%	00101000000001001000001001
Dialtown: Phone Dating Sim	92.89%	10010000000000000000000000
Neon Beats	92.88%	10011000010000000010000000
Machinarium	92.87%	10011100011010010001000000
Aperture Desk Job	92.84%	00111110000100010010001001
Super Meat Boy	92.83%	10101000010001000000000000
One Finger Death Punch 2	92.83%	10111000010000000000000100
TIS-100	92.83%	10001010000010000000000000
Dream Ending	92.83%	10010100000000000000000010
LYNE	92.81%	10111101011010000000000100
Against the Storm	92.81%	10001011100000100100010000
Defense Grid: The Awakening	92.81%	10101101000000000000000000
Maitetsu:Pure Station	92.81%	00000110000000010001001011
SUPER CHICKEN JUMPER	92.81%	10101100011001001001100110
Tales from the Borderlands	92.78%	00111100101000010000000000
Borderlands 2	92.77%	00101100100000000000101001
Bloodstained: Ritual of the Night	92.77%	10101100110000000100000010
Half-Life: Opposing Force	92.77%	00101100001010010000001001
Pony Island	92.77%	10001000011011010001000000
Orbt XL	92.77%	10111000010000000000000100
Swallow the Sea	92.77%	11111100011001000111000000
Acting Lessons	92.76%	10001000000000010000000000
Don't Escape: 4 Days to Survive	92.76%	10000000000000000000000000
????	92.76%	01000000000000000000000000
Tinykin	92.76%	00101100001010010101000000
Leaf Blower Revolution - Idle Game	92.75%	10011000011001001110000000
Everhood	92.74%	10101100110001011000000000
SpaceEngine	92.74%	10011010001000001100010000
Samorost 1	92.74%	10011100010010001011000000
Plague Inc: Evolved	92.73%	10011011011000000000110000
Brothers - A Tale of Two Sons	92.73%	10111100001010110000100000
Psychonauts	92.73%	00101100000100010100000000
Mark of the Ninja: Remastered	92.73%	10101100011010010000000000
